Player,Team,No,Pos,Ht,Wt,Birthdate,Country,Exp,College,Salary,Age,G,GS,MP,FG,FGA,FG_pct,ThrP,ThrPA,ThrP_pct,TwoP,TwoPA,TwoP_pct,eFG_pct,FT,FTA,FT_pct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS_pct,ThrPA_rate,FT_rate,ORB_pct,DRB_pct,TRB_pct,AST_pct,STL_pct,BLK_pct,TOV_pct,USG_pct,OWS,DWS,WS,WS_48,OBPM,DBPM,BPM,VORP
Bruno Caboclo,TOR,20,SF,6.75,218,September 21 1995,br,2,,1589640,21,9,0,40,6,16,0.375,2,6,0.333,4,10,0.4,0.438,0,0,,5,5,10,4,2,1,2,4,14,14.6,0.438,0.375,0.0,14.2,14.1,14.1,15.1,2.5,2.2,11.1,20.1,0.0,0.1,0.1,0.083,0.1,0.7,0.8,0.0
DeMarre Carroll,TOR,5,SF,6.67,215,July 27 1986,us,7,Vanderbilt University,14200000,30,72,72,1882,220,550,0.4,109,320,0.341,111,230,0.483,0.499,89,117,0.761,63,212,275,74,81,27,54,143,638,11.9,0.53,0.582,0.213,3.8,12.7,8.3,5.7,2.2,1.2,8.2,15.6,1.7,2.1,3.8,0.097,0.7,0.4,1.0,1.4
DeMar DeRozan,TOR,10,SG,6.58,221,August 7 1989,us,7,University of Southern California,26540100,27,74,74,2620,721,1545,0.467,33,124,0.266,688,1421,0.484,0.477,545,647,0.842,70,316,386,290,78,13,180,134,2020,24.0,0.552,0.08,0.419,3.0,13.6,8.3,20.6,1.5,0.4,9.0,34.3,6.7,2.4,9.0,0.166,2.4,-1.5,0.9,1.9
Serge Ibaka,TOR,9,PF,6.83,235,September 18 1989,cg,7,,12250000,27,23,23,712,128,279,0.459,41,103,0.398,87,176,0.494,0.532,30,34,0.882,29,127,156,15,7,33,39,76,327,13.8,0.556,0.369,0.122,4.6,20.1,12.4,3.3,0.5,4.0,11.7,20.9,0.4,0.8,1.3,0.085,-1.5,-0.5,-2.1,0.0
Cory Joseph,TOR,6,PG,6.25,193,August 20 1991,ca,5,University of Texas at Austin,7330000,25,80,22,2003,299,661,0.452,48,135,0.356,251,526,0.477,0.489,94,122,0.77,51,184,235,265,66,13,108,140,740,13.2,0.518,0.204,0.185,2.9,10.4,6.6,20.0,1.7,0.6,13.1,18.4,1.7,1.7,3.4,0.082,-0.4,-0.4,-0.8,0.6
Kyle Lowry,TOR,7,PG,6.0,205,March 25 1986,us,10,Villanova University,12000000,30,60,60,2244,426,918,0.464,193,468,0.412,233,450,0.518,0.569,299,365,0.819,48,238,286,417,88,19,173,170,1344,22.9,0.623,0.51,0.398,2.4,12.0,7.2,29.9,2.0,0.7,13.8,24.9,7.8,2.3,10.1,0.216,7.1,-0.5,6.6,4.9
Lucas Nogueira,TOR,92,C,7.0,241,July 26 1992,br,2,,1921320,24,57,6,1088,103,156,0.66,3,12,0.25,100,144,0.694,0.67,44,67,0.657,82,162,244,42,52,89,46,137,253,15.5,0.682,0.077,0.429,8.5,16.8,12.7,5.4,2.4,7.1,19.9,9.5,1.7,2.0,3.7,0.164,-0.1,5.6,5.4,2.0
Patrick Patterson,TOR,54,PF,6.75,230,March 14 1989,us,6,University of Kentucky,6050000,27,65,8,1599,154,384,0.401,94,253,0.372,60,131,0.458,0.523,43,60,0.717,62,231,293,76,40,23,38,120,445,10.8,0.542,0.659,0.156,4.4,16.3,10.4,6.6,1.3,1.2,8.5,12.5,1.7,1.6,3.3,0.1,0.5,0.4,0.9,1.2
Jakob Poeltl,TOR,42,C,7.0,248,October 15 1995,at,0,University of Utah,2703960,21,54,4,626,67,115,0.583,0,0,,67,115,0.583,0.583,31,57,0.544,78,87,165,12,17,20,29,113,165,12.2,0.589,0.0,0.496,14.1,15.7,14.9,2.7,1.4,2.8,17.2,12.1,0.9,0.7,1.6,0.125,-1.2,0.5,-0.7,0.2
Norman Powell,TOR,24,SG,6.33,215,May 25 1993,us,1,University of California Los Angeles,874636,23,76,18,1368,227,506,0.449,56,173,0.324,171,333,0.514,0.504,126,159,0.792,26,143,169,82,52,14,70,127,636,14.0,0.552,0.342,0.314,2.2,11.8,7.0,9.3,1.9,0.9,10.8,21.1,1.4,1.4,2.8,0.097,-0.4,-1.1,-1.5,0.2
Pascal Siakam,TOR,43,PF,6.75,230,February 4 1994,cm,0,New Mexico State University,1196040,22,55,38,859,103,205,0.502,1,7,0.143,102,198,0.515,0.505,22,32,0.688,64,121,185,17,26,45,33,109,229,11.5,0.523,0.034,0.156,8.4,15.9,12.2,2.9,1.5,4.5,13.1,13.1,0.4,1.2,1.6,0.089,-3.0,1.9,-1.1,0.2
P.J. Tucker,TOR,2,SF,6.5,245,May 5 1985,us,5,University of Texas at Austin,5300000,31,24,4,609,52,128,0.406,24,60,0.4,28,68,0.412,0.5,11,16,0.688,23,106,129,26,31,5,14,53,139,10.4,0.515,0.469,0.125,4.3,19.6,12.0,5.9,2.6,0.7,9.4,10.9,0.4,0.9,1.3,0.099,-0.7,1.9,1.1,0.5
Jonas Valanciunas,TOR,17,C,7.0,265,May 6 1992,lt,4,,14382022,24,80,80,2066,391,702,0.557,1,2,0.5,390,700,0.557,0.558,176,217,0.811,226,533,759,57,37,63,106,216,959,20.1,0.601,0.003,0.309,12.4,29.1,20.8,4.4,0.9,2.6,11.7,19.5,4.9,3.0,7.9,0.183,-0.5,-0.1,-0.6,0.7
Fred VanVleet,TOR,23,PG,6.0,195,February 25 1994,us,0,Wichita State University,543471,22,37,0,294,39,111,0.351,11,29,0.379,28,82,0.341,0.401,18,22,0.818,4,38,42,35,16,3,15,36,107,10.5,0.443,0.261,0.198,1.5,14.6,8.1,17.5,2.8,0.9,11.1,20.6,-0.1,0.4,0.2,0.04,-3.2,0.0,-3.2,-0.1
Delon Wright,TOR,55,PG,6.42,183,April 26 1992,us,1,University of Utah,1577280,24,27,0,446,49,116,0.422,10,30,0.333,39,86,0.453,0.466,42,55,0.764,16,32,48,57,27,11,25,31,150,15.0,0.535,0.259,0.474,4.1,8.1,6.1,18.2,3.1,2.1,15.1,16.6,0.5,0.6,1.1,0.117,-0.1,1.2,1.1,0.4
Avery Bradley,BOS,0,SG,6.17,180,November 26 1990,us,6,University of Texas at Austin,8269663,26,55,55,1835,359,775,0.463,108,277,0.39,251,498,0.504,0.533,68,93,0.731,65,269,334,122,68,11,88,141,894,14.4,0.548,0.357,0.12,4.0,16.2,10.1,11.0,1.8,0.5,9.7,21.9,1.1,2.0,3.1,0.081,-0.2,-0.4,-0.5,0.7
Jaylen Brown,BOS,7,SF,6.58,225,October 24 1996,us,0,University of California,4743000,20,78,20,1341,192,423,0.454,46,135,0.341,146,288,0.507,0.508,85,124,0.685,45,175,220,64,35,18,68,142,515,10.3,0.539,0.319,0.293,3.8,14.4,9.1,7.2,1.3,1.1,12.5,18.1,0.2,1.3,1.5,0.053,-3.1,-0.9,-4.0,-0.7
Jae Crowder,BOS,99,SF,6.5,235,July 6 1990,us,4,Marquette University,6286408,26,72,72,2335,333,720,0.463,157,394,0.398,176,326,0.54,0.572,176,217,0.811,48,367,415,155,73,23,80,161,999,14.9,0.613,0.547,0.301,2.3,17.3,9.9,10.1,1.6,0.8,8.9,17.0,4.1,2.5,6.7,0.137,1.4,0.2,1.6,2.1
